size, s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12, s13, s14, s15, s16, s17, s18, s19, s20, s21, s22, s23, s24, s25, s26, s27, s28, s29, s30, s31, s32, s33, s34, s35, s36, s37, s38, s39, s40, s41, s42, s43, s44, s45, s46, s47, s48, s49, s50, median
5, 291, 319, 287, 413, 453, 221, 329, 461, 407, 411, 357, 433, 597, 401, 539, 309, 331, 422, 319, 311, 353, 519, 498, 593, 337, 411, 303, 411, 371, 211, 265, 399, 243, 347, 519, 379, 371, 337, 421, 545, 403, 343, 557, 480, 577, 357, 437, 267, 394, 498, 396.5
6, 730, 920, 532, 742, 688, 898, 628, 628, 868, 710, 748, 896, 800, 838, 857, 410, 684, 562, 1089, 493, 1101, 674, 794, 660, 456, 693, 738, 474, 548, 1132, 858, 799, 768, 806, 718, 866, 908, 914, 1020, 602, 784, 834, 614, 1053, 694, 846, 456, 632, 596, 786, 745.0
7, 1443, 1501, 1161, 1131, 1211, 1357, 1215, 1203, 1099, 927, 1335, 1411, 1257, 1155, 1073, 1693, 1439, 1499, 1381, 1147, 1048, 1410, 1207, 1533, 1839, 1479, 1113, 1825, 765, 1367, 1667, 811, 1509, 1315, 1467, 967, 1033, 1301, 1115, 1691, 995, 1641, 1509, 1277, 563, 1686, 1883, 1331, 1256, 1371, 1323.0
8, 1868, 2580, 2112, 2112, 2454, 2134, 2342, 2590, 1918, 1968, 3021, 2084, 421, 1864, 2318, 1631, 1964, 1926, 2080, 1056, 2502, 2342, 1873, 1282, 2396, 1754, 2060, 1778, 2912, 1845, 1740, 2420, 1744, 2504, 2112, 1542, 2524, 2252, 1890, 2115, 2640, 2431, 2296, 2422, 1136, 2823, 2218, 2135, 2654, 1154, 2112.0
9, 2134, 3846, 3297, 3054, 3718, 3369, 2877, 1773, 2246, 3923, 2240, 2353, 2299, 2327, 3899, 3013, 3062, 3803, 3451, 3767, 3055, 3930, 4213, 3633, 3188, 4139, 2897, 2390, 3610, 3005, 2683, 3760, 2145, 3555, 4763, 3547, 2363, 2193, 4153, 2993, 3469, 2557, 4045, 3899, 3292, 3163, 3033, 3649, 2762, 3093, 3175.5
10, 4464, 3696, 4980, 3628, 5284, 4815, 5585, 5274, 4836, 2438, 5872, 4169, 4956, 4187, 5286, 4340, 4854, 4546, 4089, 2460, 4802, 4556, 4308, 6659, 2662, 2192, 4046, 4462, 3864, 4014, 5650, 5373, 3562, 4414, 2888, 5876, 5618, 4259, 4486, 3097, 6167, 4298, 2130, 6008, 3408, 5122, 4870, 5183, 5068, 3678, 4475.0
11, 7274, 4510, 6827, 7712, 7215, 4600, 7127, 8563, 7917, 7565, 7404, 5604, 5482, 4466, 5667, 8069, 9958, 6542, 4965, 5215, 5872, 4058, 5528, 6731, 8008, 8032, 8459, 6011, 8407, 3679, 4991, 4801, 6862, 8293, 4909, 5291, 4432, 6636, 6679, 7573, 5461, 4531, 6020, 7495, 6629, 7945, 8691, 6999, 5269, 4660, 6632.5
12, 5468, 9735, 9762, 8153, 9757, 8571, 10822, 10655, 11576, 10895, 5426, 10559, 5871, 10234, 7883, 13157, 8943, 14583, 9040, 9015, 13835, 8135, 10571, 11365, 6020, 9980, 10714, 9947, 7309, 9034, 8692, 7123, 7702, 8282, 4765, 10494, 6622, 12101, 8050, 11662, 9340, 9398, 6986, 8849, 10567, 10131, 11272, 10621, 8190, 5198, 9369.0
13, 12361, 11419, 13124, 10963, 8301, 12604, 11999, 12932, 5658, 11037, 10978, 12353, 14800, 13060, 10187, 10803, 11812, 15767, 15067, 16721, 12661, 8481, 11024, 15238, 15449, 9172, 11570, 13305, 9782, 8759, 14194, 10627, 14900, 10644, 10290, 13392, 9692, 14176, 9434, 12356, 14789, 14406, 9959, 8712, 12179, 12525, 14891, 9183, 14421, 11385, 12089.0
14, 13948, 16116, 18092, 17099, 17284, 13669, 16013, 9530, 21968, 16421, 16635, 21802, 19815, 16245, 15130, 23052, 18020, 19930, 21338, 18745, 13418, 18733, 18374, 10144, 13255, 14322, 13862, 16556, 17563, 18062, 14731, 18346, 16347, 18711, 15150, 16297, 7669, 15275, 12945, 18677, 18937, 12821, 9362, 21129, 14224, 11318, 23276, 21912, 19817, 11543, 16488.5
